"id","pubyear","title"
"WOS:000167398800004","2001","Fire resistance of timber decking for heavy timber construction"
"WOS:000237994000010","2006","Fire endurance of loaded and liquid-cooled GFRP slabs for construction"
"WOS:000275637000003","2009","Fire ant alate wing motion data and numerical reconstruction"
"WOS:000422324800012","2009","Fire Protection in Masonry Construction"
"WOS:000269126400019","2009","Fire protection in multistorey buildings and increase in wood construction"
"WOS:000422306700007","2009","Fire Protection of Brick Masonry in Housing Construction"
"WOS:000285506200071","2010","FIREBALL: Instrument pointing and aspect reconstruction"
"WOS:000316860000018","2011","Fire Scene Reconstruction"
"WOS:000288736900022","2011","Construction application of Fibre/Mesh method for protecting concrete columns in fire"
"WOS:000318751500017","2013","Fire debris analysis and scene reconstruction"
"WOS:000416958800015","2017","Fire performance of natural fibre composites in construction"
