,0,1
0,cause,0.9317953586578369
1,authorities,0.8755030632019043
2,investigators,0.8679304718971252
3,said.the,0.8652119636535645
4,police,0.8581023216247559
5,taken,0.8578938841819763
6,scene,0.8570490479469299
7,chief,0.8314235210418701
8,injuries,0.8297286033630371
9,floor,0.8166186809539795
10,officials,0.8120682239532471
11,hospital,0.8049041032791138
12,night,0.7762022018432617
13,truck,0.7701035737991333
14,dead,0.7621203064918518
15,spokesman,0.7565330862998962
16,debris,0.7527214288711548
17,yesterday,0.7505488395690918
18,ground,0.744280993938446
19,crash,0.7397264242172241
20,thursday,0.7311388254165649
21,friday,0.724968433380127
22,collapse,0.724821150302887
23,driver,0.7149516940116882
24,accident,0.714523434638977
25,man,0.7125470042228699
26,concrete,0.7086805105209351
27,across,0.7071232795715332
28,left,0.7042842507362366
29,investigation,0.7027544975280762
30,morning,0.6941989064216614
31,side,0.6932692527770996
32,monday,0.6814345121383667
33,center,0.6746032238006592
34,told,0.6708335876464844
35,fell,0.6686280965805054
36,took,0.6644928455352783
37,death,0.6528071165084839
38,injured,0.6519936323165894
39,found,0.651189386844635
40,street,0.6508250832557678
41,avenue,0.6500765681266785
42,said,0.6425440311431885
43,second,0.6419287323951721
44,official,0.6387107372283936
45,involved,0.6328996419906616
46,site,0.6303516626358032
47,tuesday,0.6280210018157959
48,later,0.6253790855407715
49,worker,0.614566445350647
