,fire,fall,collapse,building,people
0,said.the,west,fell,department,others
1,police,collapse,debris,inspectors,died
2,scene,side,east,issued,injured
3,taken,east,floor,commissioner,one
4,cause,floor,ground,city,killed
5,investigators,debris,occurred,cranes,around
6,authorities,ground,west,involved,men
7,hospital,street,steel,contractor,caused
8,injuries,across,street,violations,accident
9,chief,friday,across,tower,another
10,night,second,death,crane,came
11,floor,avenue,side,investigation,days
12,spokesman,occurred,site,j.,least
13,man,death,friday,office,authorities
14,dead,morning,second,equipment,debris
15,monday,worker,march,site,train
16,friday,yesterday,wall,found,injuries
17,driver,injuries,injuries,district,dead
18,investigation,monday,authorities,charges,occurred
19,later,injured,monday,investigators,workers
